Total installations,"27,776"
Residential installations,"26,683"
Commercial installations,"1,074"
Power stations,"19"
Number of houses in LGA,"73,390"
Installed residential capacity,"155,495"
Total installed capacity,"193,237"
Average annual kWh generated per kW installed,"1,380"
LGA residential PV density,"~36.4%"
Annual total savings,"~$30,577,000"
Annual savings for a new system,"~$1,400"
Annual CO2 offset (all installations),"154,000 tonnes"
Annual CO2 offset (residential installations),"124,000 tonnes"
Annual CO2 offset (commercial installations),"25,800 tonnes"
Annual CO2 offset (power stations),"4,270 tonnes"


"","Residential","","","","","Commercial","","","","","Power Stations","",
"","Since 2001","","Financial year 2024-2025","","","Since 2001","","Financial year 2024-2025","","","Financial year 2024-2025","",
"Locality","Installations","kW Capacity","Installations","kW Capacity","% Increase YoY","Installations","kW Capacity","Installations","kW Capacity","% Increase YoY","Installations","kW Capacity"
"Austinmer","427","2,313","29","234","7.29%","7","124","2","37","40.00%","-","-"
"Avon *","1","4","-","-","-","-","-","-","-","-","-","-"
"Avondale","135","931","12","74","9.76%","5","68","-","-","-","-","-"
"Balgownie","725","4,358","55","455","8.21%","18","319","5","96","38.46%","-","-"
"Bellambi","303","1,663","24","183","8.60%","18","638","-","-","-","-","-"
"Berkeley","836","4,755","70","542","9.14%","28","751","5","118","21.74%","-","-"
"Brownsville","69","422","3","20","4.55%","1","13","-","-","-","-","-"
"Bulli","945","5,632","63","542","7.14%","37","993","3","77","8.82%","2","813"
"Cleveland","5","38","1","7","25.00%","-","-","-","-","-","-","-"
"Clifton","6","32","-","-","-","-","-","-","-","-","-","-"
"Coalcliff","41","225","4","37","10.81%","2","54","1","19","100.00%","-","-"
"Coledale","238","1,302","15","108","6.73%","8","127","1","16","14.29%","-","-"
"Coniston","163","848","11","62","7.24%","10","411","1","31","11.11%","-","-"
"Cordeaux","12","67","-","-","-","-","-","-","-","-","-","-"
"Cordeaux Heights","745","4,424","50","414","7.19%","14","336","1","16","7.69%","-","-"
"Corrimal","880","4,520","69","496","8.51%","28","826","-","-","-","-","-"
"Cringila","218","1,178","17","135","8.46%","5","126","1","39","25.00%","-","-"
"Dapto","1836","9,522","123","943","7.18%","43","1,527","4","119","10.26%","-","-"
"Darkes Forest *","8","56","2","18","33.33%","4","84","1","18","33.33%","-","-"
"Dombarton","17","144","1","11","6.25%","2","50","-","-","-","-","-"
"East Corrimal","323","2,043","25","224","8.39%","8","144","1","18","14.29%","-","-"
"Fairy Meadow","674","3,889","45","363","7.15%","34","1,367","4","120","13.33%","1","266"
"Farmborough Heights","537","3,113","34","254","6.76%","7","117","-","-","-","-","-"
"Fernhill","91","550","10","95","12.35%","7","382","2","106","40.00%","-","-"
"Figtree","1637","9,591","126","977","8.34%","46","950","5","115","12.20%","-","-"
"Gwynneville","224","1,232","19","167","9.27%","9","306","-","-","-","-","-"
"Haywards Bay","303","1,992","18","161","6.32%","11","193","-","-","-","-","-"
"Helensburgh","749","4,327","52","422","7.46%","22","668","1","19","4.76%","-","-"
"Horsley","2014","12,445","201","1,525","11.09%","29","572","2","36","7.41%","-","-"
"Kanahooka","1112","5,837","73","567","7.03%","17","411","1","19","6.25%","-","-"
"Keiraville","345","1,893","33","266","10.58%","14","477","-","-","-","-","-"
"Kembla Grange","407","3,131","28","229","7.39%","11","290","1","66","10.00%","-","-"
"Kembla Heights","4","20","-","-","-","1","20","-","-","-","-","-"
"Koonawarra","478","2,484","35","268","7.90%","3","52","-","-","-","-","-"
"Lake Heights","498","2,769","53","421","11.91%","14","229","1","15","7.69%","-","-"
"Lilyvale","3","10","-","-","-","1","20","1","20","-","-","-"
"Lindendale","-","-","-","-","-","-","-","-","-","-","-","-"
"Maddens Plains","-","-","-","-","-","3","91","-","-","-","-","-"
"Mangerton","295","1,839","24","198","8.86%","13","298","1","21","8.33%","-","-"
"Marshall Mount","25","155","1","8","4.17%","-","-","-","-","-","-","-"
"Mount Keira","219","1,279","13","115","6.31%","7","117","1","15","16.67%","-","-"
"Mount Kembla","161","1,043","20","204","14.18%","12","206","1","18","9.09%","-","-"
"Mount Ousley","202","1,211","16","146","8.60%","2","32","-","-","-","-","-"
"Mount Pleasant","182","1,083","15","109","8.98%","1","18","-","-","-","-","-"
"Mount Saint Thomas","143","779","12","114","9.16%","1","20","-","-","-","-","-"
"North Wollongong","76","454","8","75","11.76%","11","562","1","100","10.00%","-","-"
"Otford","40","224","2","17","5.26%","6","91","-","-","-","-","-"
"Other","56","194","4","22","7.69%","4","65","1","15","33.33%","-","-"
"Port Kembla","613","3,570","57","476","10.25%","44","1,448","8","225","22.22%","1","246"
"Primbee","287","1,616","17","147","6.30%","4","182","1","32","33.33%","-","-"
"Russell Vale","204","1,181","21","175","11.48%","4","125","-","-","-","-","-"
"Scarborough","47","313","11","107","30.56%","1","17","-","-","-","-","-"
"Stanwell Park","229","1,442","24","234","11.71%","6","127","1","18","20.00%","-","-"
"Stanwell Tops","105","497","5","42","5.00%","2","28","-","-","-","-","-"
"Tarrawanna","251","1,379","21","177","9.13%","12","370","1","18","9.09%","-","-"
"Thirroul","995","5,473","72","581","7.80%","25","668","4","69","19.05%","-","-"
"Towradgi","397","2,338","31","267","8.47%","14","402","2","57","16.67%","-","-"
"Unanderra","622","3,048","42","327","7.24%","118","5,645","15","743","14.56%","1","150"
"Warrawong","320","1,815","29","205","9.97%","29","1,225","2","59","7.41%","1","528"
"West Wollongong","405","2,376","31","244","8.29%","10","266","3","51","42.86%","-","-"
"Windang","313","1,705","23","166","7.93%","9","196","-","-","-","-","-"
"Wollongong","571","3,335","42","352","7.94%","112","3,531","17","475","17.89%","-","-"
"Wombarra","153","901","12","101","8.51%","5","84","-","-","-","-","-"
"Wongawilli","380","2,931","63","487","19.87%","19","379","4","99","26.67%","-","-"
"Woonona","1572","8,771","120","998","8.26%","38","1,130","2","54","5.56%","-","-"
"Woronora Dam *","-","-","-","-","-","1","30","-","-","-","-","-"
"Yallah","59","404","8","63","15.69%","12","310","1","18","9.09%","-","-"
