Total installations,"27,776"
Residential installations,"26,683"
Commercial installations,"1,074"
Power stations,"19"
Number of houses in LGA,"73,390"
Installed residential capacity,"155,495"
Total installed capacity,"193,237"
Average annual kWh generated per kW installed,"1,380"
LGA residential PV density,"~36.4%"
Annual total savings,"~$30,577,000"
Annual savings for a new system,"~$1,400"
Annual CO2 offset (all installations),"154,000 tonnes"
Annual CO2 offset (residential installations),"124,000 tonnes"
Annual CO2 offset (commercial installations),"25,800 tonnes"
Annual CO2 offset (power stations),"4,270 tonnes"


"","Residential","","Commercial","","Power Stations","",
"","Since  2001","","Since  2001","","Since  2001","",
"Locality","Installations","kW Capacity","Installations","kW Capacity","Installations","kW Capacity"
"Austinmer","452","2,532","9","161","-","-"
"Avon *","1","4","-","-","-","-"
"Avondale","140","976","6","84","-","-"
"Balgownie","746","4,537","20","357","-","-"
"Bellambi","315","1,756","19","657","-","-"
"Berkeley","858","4,925","28","751","-","-"
"Brownsville","69","422","1","13","-","-"
"Bulli","983","6,009","42","1,085","3","1,013"
"Cleveland","5","38","-","-","-","-"
"Clifton","7","37","-","-","-","-"
"Coalcliff","44","254","2","54","-","-"
"Coledale","243","1,351","8","127","-","-"
"Coniston","173","955","12","446","-","-"
"Cordeaux","13","78","-","-","-","-"
"Cordeaux Heights","765","4,587","17","387","-","-"
"Corrimal","900","4,689","29","865","-","-"
"Cringila","221","1,212","7","201","-","-"
"Dapto","1871","9,779","48","1,642","-","-"
"Darkes Forest *","8","56","4","84","-","-"
"Dombarton","17","144","2","50","-","-"
"East Corrimal","334","2,139","9","162","-","-"
"Fairy Meadow","691","4,022","35","1,383","1","266"
"Farmborough Heights","543","3,175","9","152","-","-"
"Fernhill","93","564","7","382","-","-"
"Figtree","1687","10,047","49","997","-","-"
"Gwynneville","234","1,327","12","366","-","-"
"Haywards Bay","310","2,063","11","193","-","-"
"Helensburgh","771","4,565","24","701","1","176"
"Horsley","2085","13,014","32","629","-","-"
"Kanahooka","1134","5,998","17","411","-","-"
"Keiraville","351","1,939","16","510","-","-"
"Kembla Grange","408","3,137","11","290","1","480"
"Kembla Heights","5","24","1","20","-","-"
"Koonawarra","484","2,527","4","67","-","-"
"Lake Heights","507","2,840","16","260","-","-"
"Lilyvale","3","10","1","20","-","-"
"Lindendale","-","-","-","-","1","141"
"Maddens Plains","-","-","3","91","-","-"
"Mangerton","306","1,944","15","335","-","-"
"Marshall Mount","26","168","1","30","-","-"
"Mount Keira","223","1,317","7","117","-","-"
"Mount Kembla","164","1,074","13","221","-","-"
"Mount Ousley","207","1,249","3","51","-","-"
"Mount Pleasant","187","1,119","2","37","-","-"
"Mount Saint Thomas","150","849","1","20","-","-"
"North Wollongong","78","468","12","581","1","155"
"Otford","43","250","6","91","-","-"
"Other","63","246","6","107","-","-"
"Port Kembla","628","3,688","48","1,567","2","378"
"Primbee","291","1,653","5","198","-","-"
"Russell Vale","214","1,276","4","125","1","250"
"Scarborough","48","326","1","17","-","-"
"Stanwell Park","238","1,514","8","164","-","-"
"Stanwell Tops","109","543","3","50","-","-"
"Tarrawanna","261","1,458","14","405","-","-"
"Thirroul","1029","5,746","27","714","-","-"
"Towradgi","411","2,461","14","402","-","-"
"Unanderra","637","3,161","123","5,852","4","965"
"Warrawong","328","1,905","30","1,251","2","937"
"West Wollongong","414","2,457","11","283","-","-"
"Windang","319","1,751","11","388","-","-"
"Wollongong","587","3,499","117","3,844","2","614"
"Wombarra","162","978","6","101","-","-"
"Wongawilli","401","3,109","24","463","-","-"
"Woonona","1623","9,188","40","1,162","-","-"
"Woronora Dam *","-","-","1","30","-","-"
"Yallah","60","409","12","310","-","-"
