Date,Residential,Commercial,Power Stations
Jan 2001,0,0,0
Feb 2001,0,0,0
Mar 2001,0,0,0
Apr 2001,0,0,0
May 2001,0,0,0
Jun 2001,0,0,0
Jul 2001,0,0,0
Aug 2001,0,0,0
Sep 2001,0,0,0
Oct 2001,0,0,0
Nov 2001,0,0,0
Dec 2001,0,0,0
Jan 2002,0,0,0
Feb 2002,0,0,0
Mar 2002,0,0,0
Apr 2002,0,0,0
May 2002,0,0,0
Jun 2002,0,0,0
Jul 2002,0,0,0
Aug 2002,0,0,0
Sep 2002,0,0,0
Oct 2002,0,0,0
Nov 2002,0,0,0
Dec 2002,0,0,0
Jan 2003,0,0,0
Feb 2003,0,0,0
Mar 2003,0,0,0
Apr 2003,0,0,0
May 2003,0,0,0
Jun 2003,0,0,0
Jul 2003,0,0,0
Aug 2003,0,0,0
Sep 2003,0,0,0
Oct 2003,0,0,0
Nov 2003,0,0,0
Dec 2003,0,0,0
Jan 2004,0,0,0
Feb 2004,0,0,0
Mar 2004,0,0,0
Apr 2004,0,0,0
May 2004,0,0,0
Jun 2004,0,0,0
Jul 2004,0,0,0
Aug 2004,0,0,0
Sep 2004,0,0,0
Oct 2004,0,0,0
Nov 2004,0,0,0
Dec 2004,0,0,0
Jan 2005,0,0,0
Feb 2005,0,0,0
Mar 2005,0,0,0
Apr 2005,0,0,0
May 2005,0,0,0
Jun 2005,0,0,0
Jul 2005,0,0,0
Aug 2005,0,0,0
Sep 2005,0,0,0
Oct 2005,0,0,0
Nov 2005,0,0,0
Dec 2005,1,0,0
Jan 2006,0,0,0
Feb 2006,0,0,0
Mar 2006,0,0,0
Apr 2006,0,0,0
May 2006,0,0,0
Jun 2006,0,0,0
Jul 2006,0,0,0
Aug 2006,0,0,0
Sep 2006,5,0,0
Oct 2006,0,0,0
Nov 2006,0,0,0
Dec 2006,0,0,0
Jan 2007,0,0,0
Feb 2007,0,0,0
Mar 2007,1,0,0
Apr 2007,0,0,0
May 2007,0,0,0
Jun 2007,0,0,0
Jul 2007,0,0,0
Aug 2007,0,0,0
Sep 2007,1,0,0
Oct 2007,6,0,0
Nov 2007,2,0,0
Dec 2007,2,0,0
Jan 2008,2,0,0
Feb 2008,0,0,0
Mar 2008,6,0,0
Apr 2008,3,0,0
May 2008,2,0,0
Jun 2008,2,0,0
Jul 2008,9,0,0
Aug 2008,5,0,0
Sep 2008,3,0,0
Oct 2008,2,0,0
Nov 2008,3,0,0
Dec 2008,5,0,0
Jan 2009,1,0,0
Feb 2009,5,0,0
Mar 2009,5,0,0
Apr 2009,8,0,0
May 2009,4,0,0
Jun 2009,6,0,0
Jul 2009,13,0,0
Aug 2009,19,0,0
Sep 2009,21,0,0
Oct 2009,24,0,0
Nov 2009,15,0,0
Dec 2009,53,10,0
Jan 2010,30,0,0
Feb 2010,60,0,0
Mar 2010,122,0,0
Apr 2010,145,10,0
May 2010,208,0,0
Jun 2010,355,0,0
Jul 2010,238,0,0
Aug 2010,350,10,0
Sep 2010,340,0,0
Oct 2010,446,0,0
Nov 2010,589,0,0
Dec 2010,413,0,0
Jan 2011,602,40,0
Feb 2011,576,10,0
Mar 2011,468,10,0
Apr 2011,375,31,0
May 2011,502,10,0
Jun 2011,549,0,0
Jul 2011,73,0,0
Aug 2011,70,0,0
Sep 2011,44,0,0
Oct 2011,74,0,0
Nov 2011,132,0,0
Dec 2011,112,0,0
Jan 2012,107,0,0
Feb 2012,126,0,0
Mar 2012,326,0,0
Apr 2012,248,0,0
May 2012,557,0,0
Jun 2012,870,10,0
Jul 2012,252,29,0
Aug 2012,237,0,0
Sep 2012,244,30,0
Oct 2012,202,0,0
Nov 2012,254,20,0
Dec 2012,461,60,0
Jan 2013,161,12,0
Feb 2013,200,10,0
Mar 2013,164,0,0
Apr 2013,120,50,0
May 2013,236,0,0
Jun 2013,182,47,0
Jul 2013,266,0,0
Aug 2013,164,10,0
Sep 2013,139,32,0
Oct 2013,218,0,0
Nov 2013,192,0,0
Dec 2013,238,128,0
Jan 2014,116,0,0
Feb 2014,178,0,0
Mar 2014,192,0,0
Apr 2014,188,45,0
May 2014,176,50,0
Jun 2014,101,171,0
Jul 2014,196,155,0
Aug 2014,206,0,0
Sep 2014,190,186,0
Oct 2014,229,181,0
Nov 2014,239,35,0
Dec 2014,289,177,0
Jan 2015,113,164,0
Feb 2015,250,30,0
Mar 2015,211,181,154
Apr 2015,144,15,0
May 2015,275,129,0
Jun 2015,227,0,0
Jul 2015,224,129,0
Aug 2015,193,15,0
Sep 2015,141,68,0
Oct 2015,211,161,0
Nov 2015,103,25,0
Dec 2015,143,25,0
Jan 2016,78,18,0
Feb 2016,171,0,0
Mar 2016,143,178,0
Apr 2016,131,0,0
May 2016,150,272,0
Jun 2016,126,316,0
Jul 2016,152,39,0
Aug 2016,165,45,0
Sep 2016,153,180,0
Oct 2016,88,178,0
Nov 2016,138,22,0
Dec 2016,227,79,0
Jan 2017,146,20,0
Feb 2017,239,0,0
Mar 2017,270,265,0
Apr 2017,146,60,0
May 2017,252,182,0
Jun 2017,300,57,0
Jul 2017,314,130,0
Aug 2017,380,137,0
Sep 2017,274,133,0
Oct 2017,421,142,0
Nov 2017,583,193,0
Dec 2017,334,266,0
Jan 2018,342,114,0
Feb 2018,376,44,249
Mar 2018,480,40,0
Apr 2018,476,119,0
May 2018,591,356,0
Jun 2018,342,151,0
Jul 2018,552,183,0
Aug 2018,463,153,140
Sep 2018,724,166,0
Oct 2018,790,79,199
Nov 2018,1154,247,0
Dec 2018,1063,517,0
Jan 2019,850,15,0
Feb 2019,948,332,0
Mar 2019,1019,135,0
Apr 2019,1175,373,0
May 2019,930,237,0
Jun 2019,741,249,0
Jul 2019,1036,292,0
Aug 2019,1227,258,0
Sep 2019,1414,590,0
Oct 2019,1227,470,0
Nov 2019,1266,360,0
Dec 2019,1584,693,0
Jan 2020,1119,138,0
Feb 2020,1540,253,0
Mar 2020,1864,176,0
Apr 2020,1613,133,0
May 2020,1276,243,0
Jun 2020,1660,344,0
Jul 2020,1653,310,132
