Date,Residential,Commercial,Power Stations,
Jan-01,0,0,0,
Feb-01,0,0,0,
Mar-01,0,0,0,
Apr-01,0,0,0,
May-01,0,0,0,
Jun-01,0,0,0,
Jul-01,0,0,0,
Aug-01,0,0,0,
Sep-01,0,0,0,
Oct-01,0,0,0,
Nov-01,0,0,0,
Dec-01,0,0,0,
Jan-02,0,0,0,
Feb-02,0,0,0,
Mar-02,0,0,0,
Apr-02,0,0,0,
May-02,0,0,0,
Jun-02,0,0,0,
Jul-02,0,0,0,
Aug-02,0,0,0,
Sep-02,0,0,0,
Oct-02,1,0,0,
Nov-02,0,0,0,
Dec-02,0,0,0,
Jan-03,0,0,0,
Feb-03,0,0,0,
Mar-03,0,0,0,
Apr-03,0,0,0,
May-03,0,0,0,
Jun-03,0,0,0,
Jul-03,0,0,0,
Aug-03,0,0,0,
Sep-03,0,0,0,
Oct-03,0,0,0,
Nov-03,0,0,0,
Dec-03,0,0,0,
Jan-04,0,0,0,
Feb-04,0,0,0,
Mar-04,0,0,0,
Apr-04,0,0,0,
May-04,0,0,0,
Jun-04,0,0,0,
Jul-04,1,0,0,
Aug-04,1,0,0,
Sep-04,0,0,0,
Oct-04,0,0,0,
Nov-04,0,0,0,
Dec-04,0,0,0,
Jan-05,0,0,0,
Feb-05,0,0,0,
Mar-05,0,0,0,
Apr-05,0,0,0,
May-05,0,0,0,
Jun-05,0,0,0,
Jul-05,0,0,0,
Aug-05,0,0,0,
Sep-05,0,0,0,
Oct-05,0,0,0,
Nov-05,0,0,0,
Dec-05,1,0,0,
Jan-06,0,0,0,
Feb-06,0,0,0,
Mar-06,0,0,0,
Apr-06,0,0,0,
May-06,0,0,0,
Jun-06,0,0,0,
Jul-06,0,0,0,
Aug-06,0,0,0,
Sep-06,1,0,0,
Oct-06,0,0,0,
Nov-06,0,0,0,
Dec-06,0,0,0,
Jan-07,0,0,0,
Feb-07,0,0,0,
Mar-07,1,0,0,
Apr-07,0,0,0,
May-07,0,0,0,
Jun-07,1,0,0,
Jul-07,0,0,0,
Aug-07,0,0,0,
Sep-07,1,0,0,
Oct-07,3,0,0,
Nov-07,2,0,0,
Dec-07,2,0,0,
Jan-08,1,0,0,
Feb-08,0,0,0,
Mar-08,6,0,0,
Apr-08,3,0,0,
May-08,2,0,0,
Jun-08,2,0,0,
Jul-08,6,0,0,
Aug-08,4,0,0,
Sep-08,2,0,0,
Oct-08,2,0,0,
Nov-08,4,0,0,
Dec-08,5,0,0,
Jan-09,2,0,0,
Feb-09,5,0,0,
Mar-09,4,0,0,
Apr-09,8,0,0,
May-09,5,0,0,
Jun-09,7,0,0,
Jul-09,9,0,0,
Aug-09,19,0,0,
Sep-09,17,0,0,
Oct-09,20,0,0,
Nov-09,15,0,0,
Dec-09,44,1,0,
Jan-10,24,0,0,
Feb-10,45,0,0,
Mar-10,73,0,0,
Apr-10,80,1,0,
May-10,120,0,0,
Jun-10,188,0,0,
Jul-10,128,0,0,
Aug-10,157,1,0,
Sep-10,178,0,0,
Oct-10,216,0,0,
Nov-10,283,0,0,
Dec-10,199,0,0,
Jan-11,257,4,0,
Feb-11,248,1,0,
Mar-11,225,1,0,
Apr-11,170,3,0,
May-11,235,1,0,
Jun-11,261,0,0,
Jul-11,43,0,0,
Aug-11,33,0,0,
Sep-11,23,0,0,
Oct-11,40,0,0,
Nov-11,58,0,0,
Dec-11,55,0,0,
Jan-12,55,0,0,
Feb-12,67,0,0,
Mar-12,138,0,0,
Apr-12,120,0,0,
May-12,270,0,0,
Jun-12,408,1,0,
Jul-12,126,2,0,
Aug-12,119,0,0,
Sep-12,106,1,0,
Oct-12,86,0,0,
Nov-12,107,1,0,
Dec-12,188,2,0,
Jan-13,66,1,0,
Feb-13,72,1,0,
Mar-13,63,0,0,
Apr-13,45,1,0,
May-13,87,0,0,
Jun-13,67,2,0,
Jul-13,101,0,0,
Aug-13,57,1,0,
Sep-13,60,2,0,
Oct-13,78,0,0,
Nov-13,70,0,0,
Dec-13,75,5,0,
Jan-14,47,0,0,
Feb-14,67,0,0,
Mar-14,66,0,0,
Apr-14,68,3,0,
May-14,62,3,0,
Jun-14,34,6,0,
Jul-14,58,5,0,
Aug-14,68,0,0,
Sep-14,65,8,0,
Oct-14,75,6,0,
Nov-14,70,2,0,
Dec-14,81,5,0,
Jan-15,32,5,0,
Feb-15,77,1,0,
Mar-15,67,4,1,
Apr-15,39,1,0,
May-15,85,2,0,
Jun-15,68,0,0,
Jul-15,68,4,0,
Aug-15,51,1,0,
Sep-15,38,1,0,
Oct-15,63,3,0,
Nov-15,34,1,0,
Dec-15,37,1,0,
Jan-16,23,1,0,
Feb-16,53,0,0,
Mar-16,44,4,0,
Apr-16,35,0,0,
May-16,47,6,0,
Jun-16,39,4,0,
Jul-16,41,2,0,
Aug-16,47,2,0,
Sep-16,44,5,0,
Oct-16,27,4,0,
Nov-16,42,2,0,
Dec-16,57,2,0,
Jan-17,33,2,0,
Feb-17,60,0,0,
Mar-17,70,5,0,
Apr-17,39,2,0,
May-17,62,10,0,
Jun-17,72,3,0,
Jul-17,74,5,0,
Aug-17,81,3,0,
Sep-17,60,8,0,
Oct-17,92,6,0,
Nov-17,120,12,0,
Dec-17,75,7,0,
Jan-18,69,2,0,
Feb-18,73,3,1,
Mar-18,94,2,0,
Apr-18,94,2,0,
May-18,107,6,0,
Jun-18,67,6,0,
Jul-18,102,5,0,
Aug-18,84,4,1,
Sep-18,124,7,0,
Oct-18,140,4,1,
Nov-18,195,5,0,
Dec-18,176,12,0,
Jan-19,142,1,0,
Feb-19,157,9,0,
Mar-19,170,7,0,
Apr-19,195,7,0,
May-19,150,8,0,
Jun-19,117,10,0,
